city,state_id,state_name,lat,lng,population,id
Madaket,MA,Massachusetts,41.2826,-70.1855,274,1840024165
Ladora,IA,Iowa,41.7557,-92.1859,274,1840008157
Dexter,KS,Kansas,37.1795,-96.7161,274,1840007607
Annex,OR,Oregon,44.2346,-116.9922,274,1840025373
Freeborn,MN,Minnesota,43.7659,-93.5645,274,1840007930
Bishop,GA,Georgia,33.8171,-83.4372,274,1840015647
Panama,NE,Nebraska,40.5998,-96.5111,274,1840011852
Marquez,TX,Texas,31.2361,-96.2574,274,1840020828
Cromwell,OK,Oklahoma,35.3634,-96.4572,274,1840021778
Oakley,MI,Michigan,43.1435,-84.1684,274,1840010986
Reeltown,AL,Alabama,32.5788,-85.8189,274,1840023018
Donovan,IL,Illinois,40.8848,-87.6139,274,1840011860
St. Francisville,MO,Missouri,40.4497,-91.572,274,1840025540
Humnoke,AR,Arkansas,34.5422,-91.7596,274,1840014629
Numidia,PA,Pennsylvania,40.8783,-76.4034,274,1840004997
Star Junction,PA,Pennsylvania,40.0612,-79.7652,274,1840026565
Weston,PA,Pennsylvania,40.9428,-76.1401,274,1840026333
Oil Trough,AR,Arkansas,35.6292,-91.4612,274,1840016250
Everest,KS,Kansas,39.6766,-95.4254,274,1840008426
Haugen,WI,Wisconsin,45.6078,-91.7789,274,1840002067
Loma Grande,TX,Texas,28.7221,-99.8327,274,1840037110
Crown,PA,Pennsylvania,41.3917,-79.2633,274,1840026327
Fall River Mills,CA,California,41.0069,-121.4401,274,1840017492
Richland,TX,Texas,31.9176,-96.4265,273,1840022120
Catawba,OH,Ohio,39.9996,-83.6219,273,1840010538
Portage,UT,Utah,41.9756,-112.2405,273,1840021331
Cainsville,MO,Missouri,40.4398,-93.7747,273,1840007229
Egan,SD,South Dakota,44.0004,-96.6485,273,1840002533
Rippey,IA,Iowa,41.9342,-94.2008,273,1840009171
Bonesteel,SD,South Dakota,43.0775,-98.9467,273,1840002863
Sky Valley,GA,Georgia,34.984,-83.3314,273,1840015514
Gackle,ND,North Dakota,46.6264,-99.1412,273,1840000210
Mitchell Heights,WV,West Virginia,37.9088,-81.9868,273,1840038275
